,Unnamed:_0,Unnamed:_0,Unnamed:_0.1,Unnamed:_0.1.1,placename,'ee,deesel,thasel,thaself,thaseln,thasels,thasen,theesel,theeself,theeseln,theesels,theesen,thysen,yesel,yeself,you,yoursel,yourself,yourselfs,yourseln,yoursels,yourselt,yourselve,yourselves,yoursen,longitude,latitude
99,99,99,99,99,St Austell,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.7834252,50.340379999999996
100,100,100,100,100,Greenock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.7719830000000005,55.956480000000006
101,101,101,101,101,Helensburgh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.734014,56.00232
102,102,102,102,102,Bodmin,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.7188629,50.4715
103,103,103,103,103,Tenby,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.9591837109537724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.703579,51.67274000000001
104,104,104,104,104,Camelford,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.682364,50.62206
105,105,105,105,105,Irvine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.051020269471042434,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.6696364,55.61156999999999
106,106,106,106,106,Cardigan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.660864,52.0837
107,107,107,107,107,Holyhead,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.633038,53.30944
108,108,108,108,108,Ayr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.11224488671386844,0.01,0.01,0.19333333619466667,0.9666665313333388,0.01,0.01,0.01,-4.629179,55.45856
109,109,109,109,109,Dumbarton,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.11224488671386844,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.564554,55.94529
110,110,110,110,110,Bude,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.543678,50.82664000000001
111,111,111,111,111,Isle of Man,0.01,0.01,0.4148936146378451,0.8181818196694216,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.3095238083503401,0.4387753827571743,0.01,0.01,0.01,0.01,0.01,0.01,0.10638297961973744,-4.5126330999999995,54.27697
112,112,112,112,112,Kilmarnock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.11224488671386844,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.498792,55.61472
113,113,113,113,113,Newton Stewart,0.01,0.01,0.4148936146378451,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.14285701166179696,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.483164,54.9603
114,114,114,114,114,Liskeard,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.4647190000000005,50.45552
115,115,115,115,115,Altnaharra,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7758620694458127,0.208303914963585,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.442655,58.28023
116,116,116,116,116,Pwllheli,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.417633900000001,52.888819999999996
117,117,117,117,117,Lairg,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.2399717950997386,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.402414,58.022059999999996
118,118,118,118,118,Launceston,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.360451599999998,50.636829999999996
119,119,119,119,119,Carmarthen,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.312131,51.857620000000004
120,120,120,120,120,Llangefni,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.311401999999998,53.25578
121,121,121,121,121,Caernarfon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.273911,53.13955
122,122,122,122,122,Cumnock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9642857135969388,0.14285701166179696,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-4.265828900000002,55.45355
123,123,123,123,123,Aberaeron,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.2581619,52.24279
124,124,124,124,124,Alness,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6650246309535538,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.256825,57.69595
125,125,125,125,125,Glasgow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-4.251806,55.86424
126,126,126,126,126,Dalwhinnie,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5541871924612948,0.3349752518347145,0.01,0.01,0.4000000023200001,1.0,0.01,0.01,0.01,-4.242783,56.9366
127,127,127,127,127,Inverness,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6650246309535538,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.224721,57.47776999999999
128,128,128,128,128,Saltash,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.21643,50.409209999999995
129,129,129,129,129,Bideford,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8979590937109464,0.01,1.0,0.01,0.01,0.01,0.01,0.01,-4.206666,51.01668
130,130,130,130,130,Invergordon,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6650246309535538,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.1728819999999995,57.688109999999995
131,131,131,131,131,Llanelli,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.160248,51.68089000000001
132,132,132,132,132,Plymouth,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.1426565,50.37546
133,133,133,133,133,Tavistock,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.141654,50.551120000000004
134,134,134,134,134,Porthmadog,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.1333839999999995,52.92784
135,135,135,135,135,Bangor,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.129263,53.22739
136,136,136,136,136,Tywyn,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.01,0.01,0.01,0.01,0.3333333,0.01785714213010204,0.8928571953352812,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.087249,52.58701
137,137,137,137,137,Aberystwyth,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01785714213010204,0.9540816289046228,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.08292,52.4153
138,138,138,138,138,Lampeter,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.0785089999999995,52.1129
139,139,139,139,139,Barnstaple,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8979590937109464,0.01,1.0,0.01,0.01,0.01,0.01,0.01,-4.058338,51.07816
140,140,140,140,140,Tain,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6650246309535538,0.36664313197086795,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-4.05523,57.8115
141,141,141,141,141,Okehampton,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-4.004263,50.73831
142,142,142,142,142,Llandeilo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.9914300000000003,51.88469
143,143,143,143,143,Motherwell,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.08163257809245544,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-3.9810968,55.78321
144,144,144,144,144,Golspie,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-3.976086,57.97341
145,145,145,145,145,Airdrie,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999994642856,0.17346932028320994,0.01,0.01,0.7733333331786667,0.9666665313333388,0.01,0.01,0.01,-3.9625660000000003,55.86626999999999
146,146,146,146,146,Swansea,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.9436459999999998,51.62144
147,147,147,147,147,Stirling,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7499999994642856,0.2040816289046228,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-3.9369029,56.116519999999994
148,148,148,148,148,Tregaron,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01785714213010204,0.9540816289046228,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.934385,52.22
149,149,149,149,149,Tregaron,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01785714213010204,0.9540816289046228,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.934385,52.22
150,150,150,150,150,Castle Douglas,0.01,0.01,0.4148936146378451,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.8214285701275509,0.14285701166179696,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.9314139999999997,54.940419999999996
151,151,151,151,151,Dolgellau,0.01,0.01,0.01,0.13867488025213615,0.01,0.01,0.01,0.01,0.2542372825423728,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09079903064942924,0.8910412155952013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.8844,52.74215
152,152,152,152,152,Aberfeldy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5357142853316326,0.3571428046647189,0.01,0.01,0.7733333331786667,0.9666665313333388,0.01,0.01,0.01,-3.866969,56.62175
153,153,153,153,153,Machynlleth,0.01,0.01,0.01,0.13867488025213615,0.01,0.01,0.01,0.01,0.2542372825423728,0.01,0.01,0.01,0.01,0.01,0.01,0.3389831,0.018159805701314417,0.8910412155952013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.853485,52.59027
154,154,154,154,154,Brora,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-3.852548000000001,58.012159999999994
155,155,155,155,155,Llandudno,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.827609,53.324059999999996
156,156,156,156,156,Llandudno,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.827609,53.324059999999996
157,157,157,157,157,Aviemore,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6280788166942294,0.4616467723793284,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.823812,57.19449
158,158,158,158,158,Dalbeattie,0.01,0.01,0.4148936146378451,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.01,0.8214285701275509,0.11224488671386844,0.01,0.01,0.01,0.01,0.01,0.01,0.0638297885377999,-3.8225269999999996,54.934219999999996
159,159,159,159,159,Falkirk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7857142858673469,0.14285701166179696,0.01,0.01,0.7733333331786667,0.9666665313333388,0.01,0.01,0.01,-3.7839131,56.00188000000001
160,160,160,160,160,Kingsbridge,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-3.777493,50.28395
161,161,161,161,161,Pitlochry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4721549632341751,0.408509114980336,0.01,0.01,0.7864406719105085,0.983050950677962,0.01,0.01,0.01,-3.729711,56.70436
162,162,162,162,162,Colwyn Bay,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.72764,53.29318000000001
163,163,163,163,163,Totnes,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.685797,50.43374
164,164,164,164,164,Grantown-on-Spey,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7758620694458127,0.3349752518347145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.609628,57.33041
165,165,165,165,165,Dumfries,0.01,0.01,0.4148936146378451,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9285714271938774,0.051020269471042434,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-3.60512,55.070859999999996
166,166,166,166,166,Whitehaven,0.01,0.01,0.5531914861837937,1.0,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.38095238115646257,0.2959183710953771,0.01,0.01,0.01,0.01,0.01,0.01,0.14893617070167495,-3.589233,54.5497
167,167,167,167,167,Dartmouth,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.578807,50.35252
168,168,168,168,168,Bridgend,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.576945,51.50429000000001
169,169,169,169,169,Paignton,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.564235,50.43508
170,170,170,170,170,Workington,0.01,0.01,0.5531914861837937,1.0,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.4880952382227891,0.2040816289046228,0.01,0.01,0.01,0.01,0.01,0.01,0.14893617070167495,-3.5427519999999997,54.64357
171,171,171,171,171,Llanidloes,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.3333333,0.01785714213010204,0.8622448867138685,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.5401949999999998,52.44779000000001
172,172,172,172,172,Exeter,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.533899,50.71841
173,173,173,173,173,Torquay,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.525315,50.46192
174,174,174,174,174,Thurso,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.2399717950997386,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-3.5220800000000003,58.59356999999999
175,175,175,175,175,Livingston,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8928571429336735,0.051020269471042434,0.01,0.01,0.7733333331786667,0.9666665313333388,0.01,0.01,0.01,-3.518068,55.90071
176,176,176,176,176,Rhyl,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.4916339999999995,53.319140000000004
177,177,177,177,177,Tiverton,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.491207,50.90205
178,178,178,178,178,Tiverton,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.7755102265722635,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.1276595732458126,-3.491207,50.90205
179,179,179,179,179,Minehead,0.01,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.023809523554421768,0.9591837109537724,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.481152,51.20428
180,180,180,180,180,Dunfermline,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7142857130612245,0.17346932028320994,0.01,0.01,0.9666666577733334,0.9666665313333388,0.01,0.01,0.01,-3.452151,56.07174000000001
181,181,181,181,181,Perth,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5714285717346937,0.3571428046647189,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-3.4308381000000003,56.39499
182,182,182,182,182,Prestatyn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07389162637579169,0.9366642397276927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.4076129999999996,53.33651
183,183,183,183,183,Builth Wells,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.4045919999999996,52.15002
184,184,184,184,184,Braemar,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5911330045777621,0.4933144688419975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.3979439,57.00646999999999
185,185,185,185,185,Brecon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.391463,51.94895
186,186,186,186,186,Merthyr Tydfil,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.381646,51.74873
187,187,187,187,187,Llandrindod Wells,0.01,0.01,0.01,0.1363636311570248,0.01,0.01,0.01,0.01,0.2499999925,0.01,0.01,0.17180617085214153,0.01,0.01,0.01,0.3333333,0.01785714213010204,0.8622448867138685,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.377742,52.2417
188,188,188,188,188,Corwen,0.01,0.01,0.01,0.13867488025213615,0.01,0.01,0.01,0.01,0.2542372825423728,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09079903064942924,0.8910412155952013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.369242,52.98005
189,189,189,189,189,Cockermouth,0.01,0.01,0.5531914861837937,1.0,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.28634361465077923,0.01,0.01,0.01,0.01,0.4523809518197279,0.2346937538525515,0.01,0.01,0.01,0.01,0.01,0.01,0.14893617070167495,-3.367985,54.66326
190,190,190,190,190,Lockerbie,0.01,0.01,0.4148936146378451,0.01,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8214285701275509,0.14285701166179696,0.01,0.01,0.19333333619466667,0.01,0.01,0.01,0.01,-3.349008,55.12224000000001
191,191,191,191,191,Blairgowrie,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5714285717346937,0.3571428046647189,0.01,0.01,0.5799999969840001,0.9666665313333388,0.01,0.01,0.01,-3.3378318,56.58941
192,192,192,192,192,Elgin,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7389162551864884,0.3033075553720454,0.01,0.01,0.4000000023200001,0.01,0.01,0.01,0.01,-3.318485,57.64945
